"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00362013","DANVILLE, PA US","1960-09-25",,,
"USC00362013","DANVILLE, PA US","1960-09-26",,,
"USC00362013","DANVILLE, PA US","1960-09-27",,,
"USC00362013","DANVILLE, PA US","1960-09-28",,,
"USC00362013","DANVILLE, PA US","1960-09-29",,,
"USC00362013","DANVILLE, PA US","1960-09-30",,,
"USC00362013","DANVILLE, PA US","1960-10-01",,,
"USC00362013","DANVILLE, PA US","1960-10-02",,,
"USC00362013","DANVILLE, PA US","1960-10-03",,,
"USC00362013","DANVILLE, PA US","1960-10-04",,,
"USC00362013","DANVILLE, PA US","1960-10-05",,,
"USC00362013","DANVILLE, PA US","1960-10-06",,,
"USC00362013","DANVILLE, PA US","1960-10-07",,,
"USC00362013","DANVILLE, PA US","1960-10-08",,,
"USC00362013","DANVILLE, PA US","1960-10-09",,,
"USC00362013","DANVILLE, PA US","1960-10-10",,,
"USC00362013","DANVILLE, PA US","1960-10-11",,,
"USC00362013","DANVILLE, PA US","1960-10-12",,,
"USC00362013","DANVILLE, PA US","1960-10-13",,,
"USC00362013","DANVILLE, PA US","1960-10-14",,,
"USC00362013","DANVILLE, PA US","1960-10-15",,,
"USC00362013","DANVILLE, PA US","1960-10-16",,,
"USC00362013","DANVILLE, PA US","1960-10-17",,,
"USC00362013","DANVILLE, PA US","1960-10-18",,,
"USC00362013","DANVILLE, PA US","1960-10-19",,,
"USC00362013","DANVILLE, PA US","1960-10-20",,,
"USC00362013","DANVILLE, PA US","1960-10-21",,,
"USC00362013","DANVILLE, PA US","1960-10-22",,,
"USC00362013","DANVILLE, PA US","1960-10-23",,,
"USC00362013","DANVILLE, PA US","1960-10-24",,,
"USC00362013","DANVILLE, PA US","1960-10-25",,,
"USC00362013","DANVILLE, PA US","1960-10-26",,,
"USC00362013","DANVILLE, PA US","1960-10-27",,,
"USC00362013","DANVILLE, PA US","1960-10-28",,,
"USC00362013","DANVILLE, PA US","1960-10-29",,,
"USC00362013","DANVILLE, PA US","1960-10-30",,,
"USC00362013","DANVILLE, PA US","1960-10-31",,,
"USC00362013","DANVILLE, PA US","1960-11-01",,,
"USC00362013","DANVILLE, PA US","1960-11-02",,,
"USC00362013","DANVILLE, PA US","1960-11-03",,,
"USC00362013","DANVILLE, PA US","1960-11-04",,,
"USC00362013","DANVILLE, PA US","1960-11-05",,,
"USC00362013","DANVILLE, PA US","1960-11-06",,,
"USC00362013","DANVILLE, PA US","1960-11-07",,,
"USC00362013","DANVILLE, PA US","1960-11-08",,,
"USC00362013","DANVILLE, PA US","1960-11-09",,,
