,STATION,NAME,DATE,TMAX,TMIN,TOBS
885,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-09-22,68.0,52.0,62.0
886,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-09-23,63.0,50.0,62.0
887,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-09-24,72.0,41.0,72.0
888,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-09-25,72.0,43.0,71.0
889,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-09-26,74.0,45.0,72.0
890,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-09-27,72.0,54.0,71.0
891,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-09-28,71.0,55.0,69.0
892,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-09-29,71.0,46.0,70.0
893,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-09-30,72.0,48.0,72.0
894,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-10-01,78.0,52.0,76.0
895,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-10-02,82.0,51.0,81.0
896,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2013-10-03,81.0,54.0,78.0
1236,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-09-22,79.0,57.0,61.0
1237,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-09-23,69.0,43.0,68.0
1238,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-09-24,70.0,49.0,69.0
1239,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-09-25,69.0,56.0,68.0
1240,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-09-26,75.0,61.0,75.0
1241,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-09-27,78.0,50.0,78.0
1242,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-09-28,80.0,53.0,78.0
1243,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-09-29,78.0,58.0,74.0
1244,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-09-30,74.0,57.0,71.0
1245,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-10-01,73.0,60.0,73.0
1246,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-10-02,73.0,55.0,70.0
1247,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2014-10-03,70.0,54.0,68.0
1601,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2015-09-22,66.0,52.0,56.0
1602,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2015-09-23,72.0,49.0,49.0
1603,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2015-09-24,79.0,49.0,50.0
1604,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2015-09-25,80.0,50.0,58.0
1605,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2015-09-26,76.0,54.0,55.0
1606,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2015-09-27,74.0,54.0,54.0
1607,USC00360754,"BLOOMSBURG UNIVERSITY, PA US",2015-09-28,75.0,54.0,61.0
