,STATION,NAME,DATE,TMAX,TMIN,TOBS
7285,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-25,76.0,51.0,57.0
7286,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-26,70.0,43.0,45.0
7287,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-27,70.0,43.0,48.0
7288,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-28,67.0,46.0,55.0
7289,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-29,70.0,52.0,60.0
7290,USC00365817,"MILLVILLE 2 SW, PA US",1960-09-30,61.0,58.0,60.0
7291,USC00365817,"MILLVILLE 2 SW, PA US",1960-10-01,73.0,40.0,43.0
7292,USC00365817,"MILLVILLE 2 SW, PA US",1960-10-02,58.0,33.0,35.0
7293,USC00365817,"MILLVILLE 2 SW, PA US",1960-10-03,60.0,33.0,48.0
7647,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-22,81.0,61.0,62.0
7648,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-23,85.0,60.0,64.0
7649,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-24,86.0,59.0,61.0
7650,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-25,89.0,60.0,62.0
7651,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-26,87.0,58.0,59.0
7652,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-27,67.0,42.0,45.0
7653,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-28,71.0,42.0,43.0
7654,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-29,68.0,35.0,38.0
7655,USC00365817,"MILLVILLE 2 SW, PA US",1961-09-30,64.0,32.0,34.0
7656,USC00365817,"MILLVILLE 2 SW, PA US",1961-10-01,72.0,33.0,52.0
7657,USC00365817,"MILLVILLE 2 SW, PA US",1961-10-02,71.0,48.0,52.0
7658,USC00365817,"MILLVILLE 2 SW, PA US",1961-10-03,73.0,50.0,51.0
8012,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-22,60.0,33.0,37.0
8013,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-23,59.0,35.0,40.0
8014,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-24,66.0,38.0,39.0
8015,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-25,66.0,37.0,43.0
8016,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-26,57.0,40.0,53.0
8017,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-27,64.0,48.0,50.0
8018,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-28,58.0,49.0,52.0
8019,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-29,59.0,48.0,50.0
8020,USC00365817,"MILLVILLE 2 SW, PA US",1962-09-30,55.0,36.0,39.0
8021,USC00365817,"MILLVILLE 2 SW, PA US",1962-10-01,65.0,35.0,38.0
8022,USC00365817,"MILLVILLE 2 SW, PA US",1962-10-02,68.0,36.0,40.0
8023,USC00365817,"MILLVILLE 2 SW, PA US",1962-10-03,75.0,39.0,44.0
8377,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-22,61.0,35.0,37.0
8378,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-23,60.0,34.0,39.0
8379,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-24,57.0,27.0,29.0
8380,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-25,63.0,27.0,30.0
8381,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-26,68.0,27.0,36.0
8382,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-27,74.0,34.0,48.0
8383,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-28,81.0,45.0,55.0
8384,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-29,75.0,51.0,55.0
8385,USC00365817,"MILLVILLE 2 SW, PA US",1963-09-30,68.0,39.0,40.0
8386,USC00365817,"MILLVILLE 2 SW, PA US",1963-10-01,63.0,37.0,39.0
8387,USC00365817,"MILLVILLE 2 SW, PA US",1963-10-02,71.0,38.0,42.0
8388,USC00365817,"MILLVILLE 2 SW, PA US",1963-10-03,75.0,40.0,52.0
8743,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-22,77.0,43.0,44.0
8744,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-23,81.0,42.0,49.0
8745,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-24,84.0,48.0,52.0
8746,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-25,73.0,49.0,54.0
8747,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-26,64.0,35.0,38.0
8748,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-27,77.0,38.0,60.0
8749,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-28,77.0,45.0,47.0
8750,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-29,53.0,44.0,48.0
8751,USC00365817,"MILLVILLE 2 SW, PA US",1964-09-30,54.0,46.0,52.0
8752,USC00365817,"MILLVILLE 2 SW, PA US",1964-10-01,66.0,37.0,40.0
8753,USC00365817,"MILLVILLE 2 SW, PA US",1964-10-02,70.0,38.0,56.0
8754,USC00365817,"MILLVILLE 2 SW, PA US",1964-10-03,59.0,46.0,48.0
9108,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-22,87.0,63.0,64.0
9109,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-23,87.0,63.0,67.0
9110,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-24,84.0,62.0,63.0
9111,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-25,63.0,47.0,47.0
9112,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-26,62.0,36.0,39.0
9113,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-27,67.0,38.0,44.0
9114,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-28,57.0,32.0,35.0
9115,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-29,64.0,32.0,51.0
9116,USC00365817,"MILLVILLE 2 SW, PA US",1965-09-30,68.0,49.0,54.0
9117,USC00365817,"MILLVILLE 2 SW, PA US",1965-10-01,65.0,53.0,62.0
9118,USC00365817,"MILLVILLE 2 SW, PA US",1965-10-02,69.0,49.0,50.0
9119,USC00365817,"MILLVILLE 2 SW, PA US",1965-10-03,65.0,38.0,42.0
9473,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-22,59.0,50.0,56.0
9474,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-23,60.0,44.0,47.0
9475,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-24,62.0,40.0,42.0
9476,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-25,61.0,40.0,48.0
9477,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-26,62.0,34.0,35.0
9478,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-27,62.0,32.0,40.0
9479,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-28,56.0,39.0,51.0
9480,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-29,56.0,47.0,50.0
9481,USC00365817,"MILLVILLE 2 SW, PA US",1966-09-30,56.0,48.0,53.0
9482,USC00365817,"MILLVILLE 2 SW, PA US",1966-10-01,61.0,42.0,43.0
9483,USC00365817,"MILLVILLE 2 SW, PA US",1966-10-02,46.0,35.0,37.0
9484,USC00365817,"MILLVILLE 2 SW, PA US",1966-10-03,60.0,32.0,33.0
9838,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-22,72.0,53.0,54.0
9839,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-23,63.0,37.0,41.0
9840,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-24,61.0,36.0,42.0
9841,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-25,60.0,35.0,37.0
9842,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-26,63.0,36.0,38.0
9843,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-27,72.0,38.0,47.0
9844,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-28,76.0,46.0,66.0
9845,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-29,71.0,59.0,61.0
9846,USC00365817,"MILLVILLE 2 SW, PA US",1967-09-30,68.0,42.0,45.0
9847,USC00365817,"MILLVILLE 2 SW, PA US",1967-10-01,56.0,41.0,47.0
